Ensemble,Site,param,value,Category
LHC0076,ORNL,fff,0.205951214,Top10
LHC0101,ORNL,fff,3.10546816,Top10
LHC0102,ORNL,fff,3.76693871,Top10
LHC0126,ORNL,fff,3.448759235,Top10
LHC0157,ORNL,fff,3.823157825,Top10
LHC0168,ORNL,fff,4.177367583,Top10
LHC0170,ORNL,fff,3.530799247,Top10
LHC0190,ORNL,fff,3.672635181,Top10
LHC0206,ORNL,fff,3.71769833,Top10
LHC0209,ORNL,fff,1.399187387,Top10
LHC0212,ORNL,fff,4.162962073,Top10
LHC0225,ORNL,fff,0.191530774,Top10
LHC0232,ORNL,fff,3.303587275,Top10
LHC0240,ORNL,fff,3.53933643,Top10
LHC0264,ORNL,fff,4.438817593,Top10
LHC0274,ORNL,fff,1.955776916,Top10
LHC0283,ORNL,fff,1.277224529,Top10
LHC0287,ORNL,fff,4.984637862,Top10
LHC0303,ORNL,fff,4.53106458,Top10
LHC0310,ORNL,fff,2.61024804,Top10
LHC0326,ORNL,fff,4.615370723,Top10
LHC0336,ORNL,fff,0.715910695,Top10
LHC0338,ORNL,fff,0.365668672,Top10
LHC0344,ORNL,fff,0.370253281,Top10
LHC0361,ORNL,fff,2.063951644,Top10
LHC0390,ORNL,fff,0.207201882,Top10
LHC0396,ORNL,fff,1.809182067,Top10
LHC0005,TALL,hksat_sf,6.922051681,Top10
LHC0036,TALL,hksat_sf,2.047009732,Top10
LHC0041,TALL,hksat_sf,6.479416369,Top10
LHC0050,TALL,hksat_sf,5.546559437,Top10
LHC0057,TALL,hksat_sf,9.400958361,Top10
LHC0062,TALL,hksat_sf,6.973047702,Top10
LHC0078,TALL,hksat_sf,2.617719256,Top10
LHC0088,TALL,hksat_sf,8.133487252,Top10
LHC0115,TALL,hksat_sf,3.67379748,Top10
LHC0122,TALL,hksat_sf,1.926053529,Top10
LHC0126,TALL,hksat_sf,0.489266239,Top10
LHC0138,TALL,hksat_sf,6.852063301,Top10
LHC0147,TALL,hksat_sf,7.818145591,Top10
LHC0148,TALL,hksat_sf,8.638710649,Top10
LHC0154,TALL,hksat_sf,2.483849094,Top10
LHC0158,TALL,hksat_sf,5.699107785,Top10
LHC0164,TALL,hksat_sf,6.871541623,Top10
LHC0178,TALL,hksat_sf,1.48962014,Top10
LHC0190,TALL,hksat_sf,9.847201008,Top10
LHC0193,TALL,hksat_sf,2.395662369,Top10
LHC0194,TALL,hksat_sf,7.078016505,Top10
LHC0214,TALL,hksat_sf,2.365805213,Top10
LHC0221,TALL,hksat_sf,8.17167084,Top10
LHC0224,TALL,hksat_sf,3.270921779,Top10
LHC0232,TALL,hksat_sf,1.835707132,Top10
LHC0240,TALL,hksat_sf,8.583074668,Top10
LHC0246,TALL,hksat_sf,0.299578044,Top10
LHC0248,TALL,hksat_sf,9.900742156,Top10
LHC0253,TALL,hksat_sf,5.6029024,Top10
LHC0278,TALL,hksat_sf,6.033247804,Top10
LHC0323,TALL,hksat_sf,9.071434773,Top10
LHC0331,TALL,hksat_sf,7.287580014,Top10
LHC0337,TALL,hksat_sf,5.87158683,Top10
LHC0339,TALL,hksat_sf,2.571532164,Top10
LHC0359,TALL,hksat_sf,1.433481323,Top10
LHC0362,TALL,hksat_sf,5.798097035,Top10
LHC0365,TALL,hksat_sf,1.128578489,Top10
LHC0005,OSBS,hksat_sf,6.922051681,Top10
LHC0030,OSBS,hksat_sf,4.09564278,Top10
LHC0036,OSBS,hksat_sf,2.047009732,Top10
LHC0039,OSBS,hksat_sf,6.952964675,Top10
LHC0053,OSBS,hksat_sf,5.49332031,Top10
LHC0057,OSBS,hksat_sf,9.400958361,Top10
LHC0078,OSBS,hksat_sf,2.617719256,Top10
LHC0088,OSBS,hksat_sf,8.133487252,Top10
LHC0094,OSBS,hksat_sf,4.052568064,Top10
LHC0115,OSBS,hksat_sf,3.67379748,Top10
LHC0119,OSBS,hksat_sf,0.748981365,Top10
LHC0126,OSBS,hksat_sf,0.489266239,Top10
LHC0138,OSBS,hksat_sf,6.852063301,Top10
LHC0140,OSBS,hksat_sf,5.07950285,Top10
LHC0147,OSBS,hksat_sf,7.818145591,Top10
LHC0148,OSBS,hksat_sf,8.638710649,Top10
LHC0154,OSBS,hksat_sf,2.483849094,Top10
LHC0164,OSBS,hksat_sf,6.871541623,Top10
LHC0177,OSBS,hksat_sf,3.723180955,Top10
LHC0181,OSBS,hksat_sf,3.84031977,Top10
LHC0190,OSBS,hksat_sf,9.847201008,Top10
LHC0193,OSBS,hksat_sf,2.395662369,Top10
LHC0194,OSBS,hksat_sf,7.078016505,Top10
LHC0214,OSBS,hksat_sf,2.365805213,Top10
LHC0224,OSBS,hksat_sf,3.270921779,Top10
LHC0232,OSBS,hksat_sf,1.835707132,Top10
LHC0236,OSBS,hksat_sf,4.797095229,Top10
LHC0245,OSBS,hksat_sf,4.574519459,Top10
LHC0246,OSBS,hksat_sf,0.299578044,Top10
LHC0248,OSBS,hksat_sf,9.900742156,Top10
LHC0278,OSBS,hksat_sf,6.033247804,Top10
LHC0331,OSBS,hksat_sf,7.287580014,Top10
LHC0339,OSBS,hksat_sf,2.571532164,Top10
LHC0343,OSBS,hksat_sf,3.31084521,Top10
LHC0359,OSBS,hksat_sf,1.433481323,Top10
LHC0362,OSBS,hksat_sf,5.798097035,Top10
LHC0378,OSBS,hksat_sf,8.263806224,Top10
LHC0005,ORNL,hksat_sf,6.922051681,Top10
LHC0010,ORNL,hksat_sf,3.069652507,Top10
LHC0013,ORNL,hksat_sf,7.624847765,Top10
LHC0038,ORNL,hksat_sf,4.370252242,Top10
LHC0039,ORNL,hksat_sf,6.952964675,Top10
LHC0050,ORNL,hksat_sf,5.546559437,Top10
LHC0051,ORNL,hksat_sf,9.990889421,Top10
LHC0067,ORNL,hksat_sf,0.33644005,Top10
LHC0076,ORNL,hksat_sf,5.752799268,Top10
LHC0101,ORNL,hksat_sf,3.182680783,Top10
LHC0102,ORNL,hksat_sf,2.6442484,Top10
LHC0126,ORNL,hksat_sf,0.489266239,Top10
LHC0157,ORNL,hksat_sf,9.523037288,Top10
LHC0168,ORNL,hksat_sf,6.501499627,Top10
LHC0170,ORNL,hksat_sf,8.457919573,Top10
LHC0190,ORNL,hksat_sf,9.847201008,Top10
LHC0206,ORNL,hksat_sf,5.570758111,Top10
LHC0209,ORNL,hksat_sf,3.805747707,Top10
LHC0212,ORNL,hksat_sf,7.25533264,Top10
LHC0225,ORNL,hksat_sf,9.288884021,Top10
LHC0232,ORNL,hksat_sf,1.835707132,Top10
LHC0240,ORNL,hksat_sf,8.583074668,Top10
LHC0264,ORNL,hksat_sf,6.763389837,Top10
LHC0274,ORNL,hksat_sf,1.177293792,Top10
LHC0283,ORNL,hksat_sf,8.489163881,Top10
LHC0287,ORNL,hksat_sf,6.111607651,Top10
LHC0303,ORNL,hksat_sf,6.548888927,Top10
LHC0310,ORNL,hksat_sf,5.339709757,Top10
LHC0326,ORNL,hksat_sf,7.419114743,Top10
LHC0336,ORNL,hksat_sf,9.252052153,Top10
LHC0338,ORNL,hksat_sf,2.824047742,Top10
LHC0344,ORNL,hksat_sf,6.345293151,Top10
LHC0361,ORNL,hksat_sf,8.209357651,Top10
LHC0390,ORNL,hksat_sf,5.968310243,Top10
LHC0396,ORNL,hksat_sf,6.896380772,Top10
LHC0005,TALL,liq_canopy_storage_scalar,0.406954297,Top10
LHC0036,TALL,liq_canopy_storage_scalar,0.910382574,Top10
LHC0041,TALL,liq_canopy_storage_scalar,0.062930559,Top10
LHC0050,TALL,liq_canopy_storage_scalar,0.251902518,Top10
LHC0057,TALL,liq_canopy_storage_scalar,0.119952027,Top10
LHC0062,TALL,liq_canopy_storage_scalar,1.011992533,Top10
LHC0078,TALL,liq_canopy_storage_scalar,0.894875019,Top10
LHC0088,TALL,liq_canopy_storage_scalar,0.57605436,Top10
LHC0115,TALL,liq_canopy_storage_scalar,0.632583369,Top10
LHC0122,TALL,liq_canopy_storage_scalar,0.094666293,Top10
LHC0126,TALL,liq_canopy_storage_scalar,0.298353966,Top10
LHC0138,TALL,liq_canopy_storage_scalar,0.156880553,Top10
LHC0147,TALL,liq_canopy_storage_scalar,0.346580861,Top10
LHC0148,TALL,liq_canopy_storage_scalar,0.608539686,Top10
LHC0154,TALL,liq_canopy_storage_scalar,0.071679975,Top10
LHC0158,TALL,liq_canopy_storage_scalar,0.328448198,Top10
LHC0164,TALL,liq_canopy_storage_scalar,0.163826721,Top10
LHC0178,TALL,liq_canopy_storage_scalar,0.569190019,Top10
LHC0190,TALL,liq_canopy_storage_scalar,0.279026937,Top10
LHC0193,TALL,liq_canopy_storage_scalar,0.621189257,Top10
LHC0194,TALL,liq_canopy_storage_scalar,1.198840826,Top10
LHC0214,TALL,liq_canopy_storage_scalar,0.743728328,Top10
LHC0221,TALL,liq_canopy_storage_scalar,1.584058583,Top10
LHC0224,TALL,liq_canopy_storage_scalar,0.679801796,Top10
LHC0232,TALL,liq_canopy_storage_scalar,0.426257951,Top10
LHC0240,TALL,liq_canopy_storage_scalar,0.220545976,Top10
LHC0246,TALL,liq_canopy_storage_scalar,1.08327509,Top10
LHC0248,TALL,liq_canopy_storage_scalar,0.203156278,Top10
LHC0253,TALL,liq_canopy_storage_scalar,1.092143457,Top10
LHC0278,TALL,liq_canopy_storage_scalar,0.652094583,Top10
LHC0323,TALL,liq_canopy_storage_scalar,1.789105074,Top10
LHC0331,TALL,liq_canopy_storage_scalar,0.054801886,Top10
LHC0337,TALL,liq_canopy_storage_scalar,0.483211899,Top10
LHC0339,TALL,liq_canopy_storage_scalar,1.614556044,Top10
LHC0359,TALL,liq_canopy_storage_scalar,0.209305001,Top10
LHC0362,TALL,liq_canopy_storage_scalar,1.39992455,Top10
LHC0365,TALL,liq_canopy_storage_scalar,0.725611055,Top10
LHC0005,OSBS,liq_canopy_storage_scalar,0.406954297,Top10
LHC0030,OSBS,liq_canopy_storage_scalar,0.26322471,Top10
LHC0036,OSBS,liq_canopy_storage_scalar,0.910382574,Top10
LHC0039,OSBS,liq_canopy_storage_scalar,1.018049379,Top10
LHC0053,OSBS,liq_canopy_storage_scalar,0.545295342,Top10
LHC0057,OSBS,liq_canopy_storage_scalar,0.119952027,Top10
LHC0078,OSBS,liq_canopy_storage_scalar,0.894875019,Top10
LHC0088,OSBS,liq_canopy_storage_scalar,0.57605436,Top10
LHC0094,OSBS,liq_canopy_storage_scalar,1.035580385,Top10
LHC0115,OSBS,liq_canopy_storage_scalar,0.632583369,Top10
LHC0119,OSBS,liq_canopy_storage_scalar,0.767410623,Top10
LHC0126,OSBS,liq_canopy_storage_scalar,0.298353966,Top10
LHC0138,OSBS,liq_canopy_storage_scalar,0.156880553,Top10
LHC0140,OSBS,liq_canopy_storage_scalar,1.171568544,Top10
LHC0147,OSBS,liq_canopy_storage_scalar,0.346580861,Top10
LHC0148,OSBS,liq_canopy_storage_scalar,0.608539686,Top10
LHC0154,OSBS,liq_canopy_storage_scalar,0.071679975,Top10
LHC0164,OSBS,liq_canopy_storage_scalar,0.163826721,Top10
LHC0177,OSBS,liq_canopy_storage_scalar,0.420271214,Top10
LHC0181,OSBS,liq_canopy_storage_scalar,0.173135437,Top10
LHC0190,OSBS,liq_canopy_storage_scalar,0.279026937,Top10
LHC0193,OSBS,liq_canopy_storage_scalar,0.621189257,Top10
LHC0194,OSBS,liq_canopy_storage_scalar,1.198840826,Top10
LHC0214,OSBS,liq_canopy_storage_scalar,0.743728328,Top10
LHC0224,OSBS,liq_canopy_storage_scalar,0.679801796,Top10
LHC0232,OSBS,liq_canopy_storage_scalar,0.426257951,Top10
LHC0236,OSBS,liq_canopy_storage_scalar,1.277952132,Top10
LHC0245,OSBS,liq_canopy_storage_scalar,0.130464778,Top10
LHC0246,OSBS,liq_canopy_storage_scalar,1.08327509,Top10
LHC0248,OSBS,liq_canopy_storage_scalar,0.203156278,Top10
LHC0278,OSBS,liq_canopy_storage_scalar,0.652094583,Top10
LHC0331,OSBS,liq_canopy_storage_scalar,0.054801886,Top10
LHC0339,OSBS,liq_canopy_storage_scalar,1.614556044,Top10
LHC0343,OSBS,liq_canopy_storage_scalar,0.737585849,Top10
LHC0359,OSBS,liq_canopy_storage_scalar,0.209305001,Top10
LHC0362,OSBS,liq_canopy_storage_scalar,1.39992455,Top10
LHC0378,OSBS,liq_canopy_storage_scalar,0.334482198,Top10
LHC0005,ORNL,liq_canopy_storage_scalar,0.406954297,Top10
LHC0010,ORNL,liq_canopy_storage_scalar,0.969745308,Top10
LHC0013,ORNL,liq_canopy_storage_scalar,1.483718961,Top10
LHC0038,ORNL,liq_canopy_storage_scalar,1.115667978,Top10
LHC0039,ORNL,liq_canopy_storage_scalar,1.018049379,Top10
LHC0050,ORNL,liq_canopy_storage_scalar,0.251902518,Top10
LHC0051,ORNL,liq_canopy_storage_scalar,0.703808833,Top10
LHC0067,ORNL,liq_canopy_storage_scalar,0.256257051,Top10
LHC0076,ORNL,liq_canopy_storage_scalar,1.278927709,Top10
LHC0101,ORNL,liq_canopy_storage_scalar,1.150331669,Top10
LHC0102,ORNL,liq_canopy_storage_scalar,1.748842553,Top10
LHC0126,ORNL,liq_canopy_storage_scalar,0.298353966,Top10
LHC0157,ORNL,liq_canopy_storage_scalar,1.026445621,Top10
LHC0168,ORNL,liq_canopy_storage_scalar,0.381885462,Top10
LHC0170,ORNL,liq_canopy_storage_scalar,0.323382014,Top10
LHC0190,ORNL,liq_canopy_storage_scalar,0.279026937,Top10
LHC0206,ORNL,liq_canopy_storage_scalar,0.055014346,Top10
LHC0209,ORNL,liq_canopy_storage_scalar,0.708379455,Top10
LHC0212,ORNL,liq_canopy_storage_scalar,1.208306418,Top10
LHC0225,ORNL,liq_canopy_storage_scalar,1.842589282,Top10
LHC0232,ORNL,liq_canopy_storage_scalar,0.426257951,Top10
LHC0240,ORNL,liq_canopy_storage_scalar,0.220545976,Top10
LHC0264,ORNL,liq_canopy_storage_scalar,1.322374295,Top10
LHC0274,ORNL,liq_canopy_storage_scalar,1.918741519,Top10
LHC0283,ORNL,liq_canopy_storage_scalar,0.212831262,Top10
LHC0287,ORNL,liq_canopy_storage_scalar,1.798475174,Top10
LHC0303,ORNL,liq_canopy_storage_scalar,1.591747899,Top10
LHC0310,ORNL,liq_canopy_storage_scalar,0.628161692,Top10
LHC0326,ORNL,liq_canopy_storage_scalar,0.394967017,Top10
LHC0336,ORNL,liq_canopy_storage_scalar,1.182256369,Top10
LHC0338,ORNL,liq_canopy_storage_scalar,0.230601237,Top10
LHC0344,ORNL,liq_canopy_storage_scalar,0.676358676,Top10
LHC0361,ORNL,liq_canopy_storage_scalar,0.946805222,Top10
LHC0390,ORNL,liq_canopy_storage_scalar,1.300900222,Top10
LHC0396,ORNL,liq_canopy_storage_scalar,0.592698046,Top10
LHC0005,TALL,sucsat_sf,5.908697652,Top10
LHC0036,TALL,sucsat_sf,2.107767676,Top10
LHC0041,TALL,sucsat_sf,8.387752818,Top10
LHC0050,TALL,sucsat_sf,0.92974792,Top10
LHC0057,TALL,sucsat_sf,2.193363028,Top10
LHC0062,TALL,sucsat_sf,4.829714585,Top10
LHC0078,TALL,sucsat_sf,5.934081431,Top10
LHC0088,TALL,sucsat_sf,3.326579736,Top10
LHC0115,TALL,sucsat_sf,1.721453719,Top10
LHC0122,TALL,sucsat_sf,3.760421684,Top10
LHC0126,TALL,sucsat_sf,1.864711118,Top10
LHC0138,TALL,sucsat_sf,3.938360174,Top10
LHC0147,TALL,sucsat_sf,3.178927791,Top10
LHC0148,TALL,sucsat_sf,7.977258549,Top10
LHC0154,TALL,sucsat_sf,6.65657086,Top10
LHC0158,TALL,sucsat_sf,3.821966726,Top10
LHC0164,TALL,sucsat_sf,8.773045371,Top10
LHC0178,TALL,sucsat_sf,9.452983948,Top10
LHC0190,TALL,sucsat_sf,6.024663414,Top10
LHC0193,TALL,sucsat_sf,1.438147279,Top10
LHC0194,TALL,sucsat_sf,3.714795308,Top10
LHC0214,TALL,sucsat_sf,4.315822997,Top10
LHC0221,TALL,sucsat_sf,3.039490321,Top10
LHC0224,TALL,sucsat_sf,9.549993751,Top10
LHC0232,TALL,sucsat_sf,8.928858633,Top10
LHC0240,TALL,sucsat_sf,9.563595395,Top10
LHC0246,TALL,sucsat_sf,6.867699337,Top10
LHC0248,TALL,sucsat_sf,6.679282246,Top10
LHC0253,TALL,sucsat_sf,5.779066845,Top10
LHC0278,TALL,sucsat_sf,8.051048979,Top10
LHC0323,TALL,sucsat_sf,8.267739575,Top10
LHC0331,TALL,sucsat_sf,7.968454049,Top10
LHC0337,TALL,sucsat_sf,9.810531092,Top10
LHC0339,TALL,sucsat_sf,7.891955227,Top10
LHC0359,TALL,sucsat_sf,9.587824465,Top10
LHC0362,TALL,sucsat_sf,5.49784767,Top10
