Variable,Site,Product,Month,Mean,Std
GPP,OSBS,GOSIF,8,7.349379911119438,0.1200921558057119
GPP,OSBS,GOSIF,9,6.339568105180715,0.14304429792556758
GPP,OSBS,GOSIF,10,4.791516237808067,0.21889839024521876
GPP,OSBS,GOSIF,11,3.1406083284330717,0.15497478872150702
GPP,OSBS,GOSIF,12,2.1647884356023406,0.10912713672557718
GPP,OSBS,CAL,1,3.2605758768131103,0.6728963860141857
GPP,OSBS,CAL,2,3.713143648651809,0.39228277883169826
GPP,OSBS,CAL,3,4.79327001877222,0.47738452519208513
GPP,OSBS,CAL,4,6.5966404307186055,0.3272461870742413
GPP,OSBS,CAL,5,7.448255679943634,1.2494334541329328
GPP,OSBS,CAL,6,7.550740829331147,2.1725882311728553
GPP,OSBS,CAL,7,7.564594108241838,2.0724976180489243
GPP,OSBS,CAL,8,7.026601314626638,1.6493565861932953
GPP,OSBS,CAL,9,6.443873841990027,1.5521833888891774
GPP,OSBS,CAL,10,5.903615625943565,1.2706000880353425
GPP,OSBS,CAL,11,4.889152543623569,1.0092362088403521
GPP,OSBS,CAL,12,3.6864753585170162,0.8318112697213651
GPP,ORNL,DEF,1,0.9393688328118942,0.14697162791951074
GPP,ORNL,DEF,2,0.8995853972068105,0.22004516467528087
GPP,ORNL,DEF,3,0.9415640131139468,0.4210852478329404
GPP,ORNL,DEF,4,1.9488808178058037,0.5913029408237891
GPP,ORNL,DEF,5,5.098589923882355,1.2827243265609274
GPP,ORNL,DEF,6,10.558568108019701,0.6441538917889468
GPP,ORNL,DEF,7,11.507293410309993,0.4464938750981084
GPP,ORNL,DEF,8,10.41896858137977,1.2627921255230452
GPP,ORNL,DEF,9,7.986825325179076,1.9709784786780775
GPP,ORNL,DEF,10,6.007382520310014,1.8471692146462282
GPP,ORNL,DEF,11,4.432458797524901,1.3172826832222944
GPP,ORNL,DEF,12,1.471609969998548,0.29195937026153657
GPP,ORNL,MODIS,1,0.6223359239705224,0.07888092859825827
GPP,ORNL,MODIS,2,0.7405830268124595,0.11164152202895812
GPP,ORNL,MODIS,3,1.6553545034116197,0.31434182460289767
GPP,ORNL,MODIS,4,4.5124600457000295,0.6234931533635957
GPP,ORNL,MODIS,5,8.461435275511002,0.5491328568193502
GPP,ORNL,MODIS,6,10.871994911469775,0.37022216986849676
GPP,ORNL,MODIS,7,11.504100672096984,0.423106138979521
GPP,ORNL,MODIS,8,10.051019340705126,0.33195216149498036
GPP,ORNL,MODIS,9,6.904171021251024,0.44744465909186626
GPP,ORNL,MODIS,10,3.4695286477693563,0.39100915550485743
GPP,ORNL,MODIS,11,1.30224906976832,0.2321289691544716
GPP,ORNL,MODIS,12,0.7443785640735859,0.12237486870655087
GPP,ORNL,FLUXCOM,1,0.23107062416666668,0.03336011793915478
GPP,ORNL,FLUXCOM,2,0.17644207583333335,0.04229666187594444
GPP,ORNL,FLUXCOM,3,0.41384983583333335,0.048671725230854036
GPP,ORNL,FLUXCOM,4,1.3817905999999998,0.10110840850269219
