Variable,Site,Product,Month,Mean,Std
ET,OSBS,CAL,3.0,86.18899885714286,7.761137394285189
ET,OSBS,CAL,4.0,103.01892869047619,10.329409143012624
ET,OSBS,CAL,5.0,120.78630473809524,19.763340024940675
ET,OSBS,CAL,6.0,145.33102219047618,18.806387996024405
ET,OSBS,CAL,7.0,147.43462404761905,15.708818109514938
ET,OSBS,CAL,8.0,133.75397035714286,14.175020086181847
ET,OSBS,CAL,9.0,105.3710505,13.977151459058721
ET,OSBS,CAL,10.0,74.04334033333333,11.925446617764258
ET,OSBS,CAL,11.0,56.936791928571424,9.643393206430224
ET,OSBS,CAL,12.0,50.36309345238095,7.452169672435048
ET,ORNL,DEF,1.0,13.588507523809524,2.9451283159124766
ET,ORNL,DEF,2.0,16.215986583333333,3.4311889891696024
ET,ORNL,DEF,3.0,29.965635547619048,5.84564781544887
ET,ORNL,DEF,4.0,62.32714138095238,11.413992117922117
ET,ORNL,DEF,5.0,113.60806261904762,7.646013520919613
ET,ORNL,DEF,6.0,135.41386773809523,6.561735004384596
ET,ORNL,DEF,7.0,135.866367,10.29199410173106
ET,ORNL,DEF,8.0,111.77879700000001,11.693494497528956
ET,ORNL,DEF,9.0,77.1569575952381,11.3055164582078
ET,ORNL,DEF,10.0,50.929644857142854,7.55397461147533
ET,ORNL,DEF,11.0,22.051632095238094,2.859126288271516
ET,ORNL,DEF,12.0,14.715020357142857,2.0407410491963134
ET,ORNL,CAL,1.0,24.739232166666667,4.527183537338116
ET,ORNL,CAL,2.0,27.485328,3.698617780191643
ET,ORNL,CAL,3.0,39.74299264285714,5.611109988383528
ET,ORNL,CAL,4.0,66.37565114285715,11.920036871589206
ET,ORNL,CAL,5.0,118.39324923809524,7.303621324337738
ET,ORNL,CAL,6.0,140.22053,6.340643560777125
ET,ORNL,CAL,7.0,145.61004952380952,6.848497683074552
ET,ORNL,CAL,8.0,127.21614302380952,7.2543621386233745
ET,ORNL,CAL,9.0,94.20706088095238,7.266536848108344
ET,ORNL,CAL,10.0,64.5573225,7.078694904099444
ET,ORNL,CAL,11.0,38.522140404761906,6.625173906320814
ET,ORNL,CAL,12.0,28.85400585714286,5.288948918641792
